user_id,merchant_id,timestamp,label
35,9,1707901380.0,1
99,15,1706859120.0,0
70,7,1705978680.0,1
5,6,1709947140.0,1
8,0,1708705680.0,1
48,2,1704838860.0,1
32,19,1705063560.0,0
21,1,1709914440.0,1
27,16,1707967680.0,0
25,3,1707311160.0,1
49,15,1704688860.0,1
83,6,1708582560.0,1
21,19,1704194400.0,1
85,18,1709233860.0,1
58,18,1706250900.0,1
7,17,1709215740.0,1
97,17,1706085480.0,0
76,15,1704522540.0,1
80,5,1709596860.0,1
75,17,1705663020.0,0
9,14,1709976660.0,1
96,11,1707822900.0,1
25,19,1708559520.0,0
17,11,1704629160.0,0
14,6,1705091820.0,0
53,7,1704083520.0,0
20,14,1705372440.0,0
37,7,1705855320.0,0
55,5,1705758960.0,0
4,5,1707488880.0,1
57,15,1704772140.0,0
71,12,1709927280.0,1
79,5,1709095380.0,0
11,0,1705386720.0,1
1,10,1706159760.0,0
62,19,1706214480.0,0
66,12,1706021340.0,0
58,8,1705736460.0,0
69,2,1704978780.0,1
83,15,1706569800.0,0
39,10,1709555040.0,0
70,9,1709766360.0,1
53,18,1705600860.0,1
45,8,1705587960.0,0
94,9,1705129920.0,0
84,16,1707109860.0,1
74,9,1706268000.0,0
58,9,1709042220.0,0
63,18,1706046780.0,0
12,11,1707563460.0,0
49,19,1706505600.0,1
18,4,1707207300.0,0
37,15,1705982040.0,0
49,9,1709517720.0,0
68,1,1707915780.0,0
74,1,1705843680.0,1
23,6,1705213920.0,1
16,2,1707602040.0,0
57,18,1704598380.0,1
77,0,1709469600.0,1
80,16,1707166860.0,1
66,2,1707809820.0,1
87,0,1708615560.0,1
74,15,1704914520.0,0
44,11,1705468620.0,1
48,9,1704772080.0,0
44,16,1707677220.0,0
47,0,1706001480.0,0
32,16,1706825400.0,0
89,8,1709229300.0,1
93,11,1704924540.0,0
17,3,1707801240.0,0
82,11,1705581240.0,0
51,9,1706246160.0,0
65,0,1707213840.0,0
3,18,1706494200.0,0
98,0,1706103300.0,1
36,6,1705838040.0,1
61,6,1706161380.0,0
38,1,1707585000.0,0
90,6,1708508460.0,1
95,6,1708989960.0,0
42,14,1709421720.0,0
25,13,1706961000.0,1
20,1,1704275400.0,1
50,7,1706262000.0,1
69,10,1709872560.0,1
30,4,1706442840.0,0
90,1,1709806140.0,1
78,15,1707699120.0,1
91,8,1709645520.0,0
17,12,1709345700.0,0
48,9,1704925380.0,1
43,11,1704917940.0,0
23,5,1707401220.0,0
2,5,1708764600.0,0
49,11,1709975640.0,1
49,18,1709466600.0,0
21,14,1708700640.0,0
10,10,1709711160.0,1
7,2,1705162020.0,0
84,14,1708380660.0,0
60,17,1707972060.0,0
18,10,1708551180.0,0
31,12,1704321420.0,1
58,10,1704079140.0,0
17,1,1704901500.0,0
79,1,1709621340.0,0
91,14,1709163420.0,0
80,6,1704201300.0,1
81,8,1704569940.0,1
19,6,1709578080.0,1
43,4,1709032740.0,1
1,7,1708491180.0,0
13,16,1705182420.0,1
24,1,1708679100.0,0
56,4,1708780740.0,1
2,10,1707141180.0,1
60,1,1709585040.0,1
19,6,1706479680.0,1
25,18,1709057820.0,1
31,5,1705481520.0,1
15,17,1708722900.0,1
77,9,1708583280.0,0
32,16,1706759400.0,1
95,12,1708630680.0,1
49,9,1706074020.0,0
2,18,1704656580.0,1
22,6,1708227360.0,0
72,14,1707782940.0,0
69,16,1705193280.0,0
79,3,1706617320.0,0
77,9,1707507660.0,0
27,4,1707602040.0,0
64,8,1704714900.0,0
34,19,1705497120.0,0
18,9,1706809140.0,1
41,6,1705522320.0,0
86,17,1706284320.0,0
97,8,1707182460.0,1
80,7,1709679780.0,1
51,4,1707297300.0,0
14,14,1708443780.0,0
20,9,1704579960.0,0
77,3,1709522340.0,1
35,3,1704863700.0,1
0,7,1706230140.0,1
73,6,1709787000.0,1
33,9,1708491960.0,0
40,7,1707464580.0,1
74,14,1709205360.0,1
66,6,1709525940.0,0
70,15,1705619700.0,1
32,8,1708308600.0,1
22,15,1704121680.0,1
98,0,1710025740.0,0
55,2,1708308600.0,0
34,5,1708321620.0,1
88,10,1709839380.0,0
60,18,1704294360.0,0
65,17,1707837660.0,1
93,15,1705936680.0,1
56,1,1709462580.0,0
96,15,1709331060.0,0
59,3,1707629820.0,0
42,10,1707465000.0,1
88,0,1706672040.0,1
42,4,1707412800.0,1
24,5,1709392380.0,1
34,7,1709340720.0,1
38,19,1707713160.0,1
47,18,1706389260.0,0
77,7,1706251320.0,1
40,10,1704219060.0,1
75,15,1706573340.0,1
5,4,1705803960.0,1
82,9,1705542660.0,1
1,8,1707713040.0,0
34,9,1708354080.0,1
